Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.16.63-172.16.143.188-443-61526-6,172.16.143.188,61526,157.240.16.63,443,6,19/12/2021 08:29:26 PM,16767,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,119.28192282459592,16767.0,0.0,16767.0,16767.0,0,0,0,0,0,16767.0,16767.0,0.0,16767.0,16767.0,0,0,0,0,0,64,0.0,119.28192282459592,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,355,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-31.13.79.63-61535-443-6,172.16.143.188,61535,31.13.79.63,443,6,19/12/2021 08:29:26 PM,16818,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,118.92020454275182,16818.0,0.0,16818.0,16818.0,0,0,0,0,0,16818.0,16818.0,0.0,16818.0,16818.0,0,0,0,0,0,64,0.0,118.92020454275182,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,297,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-49.44.239.160-61532-443-6,172.16.143.188,61532,49.44.239.160,443,6,19/12/2021 08:29:27 PM,47364,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,42.22616333079976,47364.0,0.0,47364.0,47364.0,0,0,0,0,0,47364.0,47364.0,0.0,47364.0,47364.0,0,0,0,0,0,64,0.0,42.22616333079976,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,123,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-99.86.14.59-61398-443-6,99.86.14.59,443,172.16.143.188,61398,6,19/12/2021 08:29:29 PM,3,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,8000000.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,333333.3333333333,333333.3333333333,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,480,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-172.16.143.238-80-63309-6,172.16.143.238,63309,172.16.143.188,80,6,19/12/2021 08:29:33 PM,408995,4,5,18.0,2916.0,18.0,0.0,4.5,9.0,1460.0,0.0,583.2,798.5807410650472,7173.681829851221,22.005158987273685,51124.375,126297.041923212,361164.0,2.0,407944.0,135981.3333333333,235397.55159375243,407795.0,2.0,408372.0,102092.99999999999,174080.21190818903,361164.0,47.0,0,0,0,0,80,124,9.780070661010527,12.225088326263156,0.0,1460.0,293.4,613.8244772643795,376780.48888888885,0,1,0,0,0,0,0,0,1.0,326.0,4.5,583.2,0,0,0,0,0,0,4,18,5,2916,-1,4106,1,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-172.16.143.238-80-63309-6,172.16.143.188,80,172.16.143.238,63309,6,19/12/2021 08:29:33 PM,16642,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.17786323759164,16642.0,0.0,16642.0,16642.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,60.08893161879582,60.08893161879582,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,4106,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-99.86.14.105-61401-443-6,99.86.14.105,443,172.16.143.188,61401,6,19/12/2021 08:29:34 PM,5,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,1.2599999999999998E7,600000.0,2.5,2.1213203435596424,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0,64,32,399999.99999999994,199999.99999999997,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,74,1,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-99.86.14.105-61401-443-6,172.16.143.188,61401,99.86.14.105,443,6,19/12/2021 08:29:34 PM,2312,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.5778546712804,1156.0,1424.1130573097066,2163.0,149.0,0,0,0,0,0,2312.0,2312.0,0.0,2312.0,2312.0,0,0,0,0,32,64,432.52595155709344,865.0519031141869,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,74,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-99.86.14.105-61401-443-6,172.16.143.188,61401,99.86.14.105,443,6,19/12/2021 08:29:34 PM,485,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,49484.536082474224,4123.711340206185,485.0,0.0,485.0,485.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,2061.8556701030925,2061.8556701030925,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,6645,0,0,0,0,0,0,0,0,0,0,No Label
172.16.143.188-99.86.14.105-61401-443-6,172.16.143.188,61401,99.86.14.105,443,6,19/12/2021 08:29:34 PM,211478,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.64312127029762,52869.5,86926.70820294532,181905.0,6.0,0,0,0,0,0,29573.0,9857.666666666666,15305.948462389822,27491.0,6.0,0,0,0,0,32,104,4.728624254059524,18.914497016238094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
